PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_001145660	chr1	39720689	39721289	-	0	NA	promoter-TSS (NM_001145660)	promoter-TSS (NM_001145660)	0	NM_001145660	619289		NM_001145660	ENSMUSG00000057173	Rfx8	4933400N17Rik	regulatory factor X 8	protein-coding	0.065000	0.653910	
NM_029381	chr12	113074202	113074802	+	0	NA	promoter-TSS (NM_001361919)	promoter-TSS (NM_001361919)	0	NM_029381	75671		NM_029381	ENSMUSG00000012211	Tex22	1700028O09Rik|Tep22	testis expressed gene 22	protein-coding	0.048333	0.565724	
NM_027187	chr8	84965776	84966376	-	0	NA	promoter-TSS (NM_027187)	promoter-TSS (NM_027187)	0	NM_027187	69724		NM_027187	ENSMUSG00000052926	Rnaseh2a	2400006P09Rik|RNASEHI|RNHIA|RNHL	ribonuclease H2, large subunit	protein-coding	0.068333	0.574043	
NM_198623	chr7	104142995	104143595	-	0	NA	promoter-TSS (NM_001384184)	promoter-TSS (NM_001384184)	0	NM_198623	244178		NM_198623	ENSMUSG00000051618	Ubqln3	4933400K24Rik	ubiquilin 3	protein-coding	0.006667	0.444260	
NM_028655	chrX	112406479	112407079	-	0	NA	promoter-TSS (NM_028655)	promoter-TSS (NM_028655)	0	NM_028655	73809		NM_028655	ENSMUSG00000025527	Satl1	4930404K22Rik	spermidine/spermine N1-acetyl transferase-like 1	protein-coding	0.010000	0.464226	
NM_027945	chr10	99759358	99759958	-	0	NA	promoter-TSS (NM_027945)	promoter-TSS (NM_027945)	0	NM_027945	71832		NM_027945	ENSMUSG00000046934	Csl	1700007H16Rik	citrate synthase like	protein-coding	0.026667	0.465890	
NM_027943	chr7	119523182	119523782	-	0	NA	promoter-TSS (NM_027943)	promoter-TSS (NM_027943)	0	NM_027943	71830		NM_027943	ENSMUSG00000030968	Pdilt	1700007B13Rik	protein disulfide isomerase-like, testis expressed	protein-coding	0.008333	0.507488	
NM_053216	chr9	108392534	108393134	+	0	NA	promoter-TSS (NM_053216)	promoter-TSS (NM_053216)	0	NM_053216	112418		NM_053216	ENSMUSG00000032611	1700102P08Rik	-	RIKEN cDNA 1700102P08 gene	protein-coding	0.043333	0.547421	
NM_178689	chr19	58943125	58943725	+	0	NA	promoter-TSS (NM_178689)	promoter-TSS (NM_178689)	0	NM_178689	226265		NM_178689	ENSMUSG00000048029	Eno4	6430537H07Rik	enolase 4	protein-coding	0.088333	0.610649	60(GCGGGA,-,0.00),126(TCCCGC,+,0.00)
NM_009570	chrY	797109	797709	-	0	NA	promoter-TSS (NM_009570)	promoter-TSS (NM_009570)	0	NM_009570	22767		NM_009570	ENSMUSG00000053211	Zfy1	Zfy-1|Zfy2	zinc finger protein 1, Y-linked	protein-coding	0.025000	0.467554	
NM_019467	chr17	35175752	35176352	-	0	NA	promoter-TSS (NM_019467)	promoter-TSS (NM_019467)	0	NM_019467	11629		NM_019467	ENSMUSG00000024397	Aif1	AIF-1|D17H6S50E|G1|Iba1	allograft inflammatory factor 1	protein-coding	0.013333	0.500832	
NM_001083945	chr17	6948056	6948656	-	0	NA	promoter-TSS (NM_001083945)	promoter-TSS (NM_001083945)	0	NM_001083945	100037282		NM_001083945	ENSMUSG00000023806	Rsph3b	Rshl2b	radial spoke 3B homolog (Chlamydomonas)	protein-coding	0.091667	0.670549	104(TCCCGC,+,0.00)
NM_026317	chr6	40519208	40519808	-	0	NA	promoter-TSS (NM_026317)	promoter-TSS (NM_026317)	0	NM_026317	67690		NM_026317	ENSMUSG00000029909	Prss37	1700016G05Rik|Tryx2	serine protease 37	protein-coding	0.001667	0.412646	
NM_001134733	chr4	127970541	127971141	-	0	NA	promoter-TSS (NM_001134733)	promoter-TSS (NM_001134733)	0	NM_001134733	635169		NM_001134733	ENSMUSG00000028813	CK137956	-	cDNA sequence CK137956	protein-coding	0.025000	0.562396	
NM_001160412	chr8	43180236	43180836	+	0	NA	promoter-TSS (NM_001160412)	promoter-TSS (NM_001160412)	0	NM_001160412	622117		NM_001160412	ENSMUSG00000091490	Triml2	EG622117|Tu4	tripartite motif family-like 2	protein-coding	0.030000	0.474210	85(TCCCGC,+,0.00)
NM_139301	chr19	5335325	5335925	+	0	NA	promoter-TSS (NM_139301)	promoter-TSS (NM_139301)	0	NM_139301	225865		NM_139301	ENSMUSG00000038498	Catsper1	Catsper|KSper	cation channel, sperm associated 1	protein-coding	0.015000	0.487521	
NR_015512	chr12	106716024	106716624	-	0	NA	promoter-TSS (NR_015512)	promoter-TSS (NR_015512)	0	NR_015512	71033		NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA	0.028333	0.465890	
NM_174885	chr12	113543608	113544208	+	0	NA	promoter-TSS (NM_174885)	promoter-TSS (NM_174885)	0	NM_174885	238406		NM_174885	ENSMUSG00000043945	Adam6a	Adam6|tMDCIV	a disintegrin and metallopeptidase domain 6A	protein-coding	0.006667	0.460899	
NM_028483	chr5	30545536	30546136	-	0	NA	promoter-TSS (NM_028483)	promoter-TSS (NM_028483)	0	NM_028483	73259		NM_028483	ENSMUSG00000053194	Cib4	1700041E20Rik	calcium and integrin binding family member 4	protein-coding	0.008333	0.519135	
NM_001101463	chr5	145032464	145033064	-	0	NA	promoter-TSS (NM_001101463)	promoter-TSS (NM_001101463)	0	NM_001101463	231885		NM_001101463	ENSMUSG00000061707	Gm4871	EG231885	predicted gene 4871	protein-coding	0.011667	0.510815	
NM_001100465	chrX	37672977	37673577	-	0	NA	promoter-TSS (NM_001100465)	promoter-TSS (NM_001100465)	0	NM_001100465	622301		NM_001100465	ENSMUSG00000079627	Rhox2h	Rhox2.8|Rhox2g	reproductive homeobox 2H	protein-coding	0.015000	0.492512	
NM_029946	chr15	84065049	84065649	-	0	NA	promoter-TSS (NM_029946)	promoter-TSS (NM_029946)	0	NM_029946	77627		NM_029946	ENSMUSG00000022441	Efcab6	4931407K02Rik|4932408N08Rik|bM150J22.2|mKIAA1672	EF-hand calcium binding domain 6	protein-coding	0.055000	0.582363	187(GCGGGA,-,0.00)
NM_025717	chr19	4756225	4756825	+	0	NA	promoter-TSS (NM_025717)	promoter-TSS (NM_025717)	0	NM_025717	66704		NM_025717	ENSMUSG00000033760	Rbm4b	4921506I22Rik|Lark2|Neosin	RNA binding motif protein 4B	protein-coding	0.098333	0.690516	102(GCGGGA,-,0.00)
NM_001024706	chr14	19602287	19602887	-	0	NA	promoter-TSS (NM_001024706)	promoter-TSS (NM_001024706)	0	NM_001024706	432825		NM_001024706	ENSMUSG00000095024	Gm5458	EG432825	predicted gene 5458	protein-coding	0.005000	0.475874	
NM_001033241	chrX	127039672	127040272	+	0	NA	promoter-TSS (NM_001033241)	promoter-TSS (NM_001033241)	0	NM_001033241	211208		NM_001033241	ENSMUSG00000121811	Gm382	-	predicted gene 382	protein-coding	0.003333	0.294509	
NR_029565	chr16	84713840	84714440	+	0	NA	promoter-TSS (NR_029565)	promoter-TSS (NR_029565)	0	NR_029565	387173		NR_029565	ENSMUSG00000065397	Mir155	Mirn155|mir-155|mmu-mir-155	microRNA 155	ncRNA	0.008333	0.386023	
NM_025738	chrX	16522569	16523169	+	0	NA	promoter-TSS (NM_001310461)	promoter-TSS (NM_001310461)	0	NM_025738	66742		NM_025738	ENSMUSG00000023257	Cypt1	4931420D14Rik|Ckt1r3|Cypt5|Cypt6|TISP55	cysteine-rich perinuclear theca 1	protein-coding	0.021667	0.469218	
NM_001013382	chr1	167466480	167467080	-	0	NA	promoter-TSS (NM_001013382)	promoter-TSS (NM_001013382)	0	NM_001013382	240899		NM_001013382	ENSMUSG00000040485	Lrrc52	4930413P14Rik	leucine rich repeat containing 52	protein-coding	0.015000	0.512479	
NM_028913	chr7	43606869	43607469	+	0	NA	promoter-TSS (NM_001355131)	promoter-TSS (NM_001355131)	0	NM_028913	74400		NM_028913	ENSMUSG00000055102	Zfp819	4930427I11Rik|4933405K07Rik	zinc finger protein 819	protein-coding	0.056667	0.544093	-4(GCGGGA,-,0.00)
NM_011781	chr8	40751908	40752508	+	0	NA	promoter-TSS (NM_011781)	promoter-TSS (NM_011781)	0	NM_011781	23793		NM_011781	ENSMUSG00000071937	Adam25	-	ADAM metallopeptidase domain 25	protein-coding	0.001667	0.342762	
NM_053256	chr7	45180695	45181295	+	0	NA	promoter-TSS (NM_053256)	promoter-TSS (NM_053256)	0	NM_053256	114640		NM_053256	ENSMUSG00000038300	Pth2	Tifp39|Tip39	parathyroid hormone 2	protein-coding	0.026667	0.575707	255(GCGGGA,-,0.00)
NR_029741	chr8	84208515	84209115	+	0	NA	promoter-TSS (NR_037294)	promoter-TSS (NR_037294)	0	NR_029741	723960		NR_029741	ENSMUSG00000065541	Mir24-2	Mirn24-2|mir-24-2	microRNA 24-2	ncRNA	0.020000	0.577371	
NM_027665	chr3	98160334	98160934	+	0	NA	promoter-TSS (NM_027665)	promoter-TSS (NM_027665)	0	NM_027665	71078		NM_027665	ENSMUSG00000043468	Adam30	4933424D07Rik|svph4	a disintegrin and metallopeptidase domain 30	protein-coding	0.038333	0.545757	
NM_026253	chr14	32991082	32991682	+	0	NA	promoter-TSS (NM_001146021)	promoter-TSS (NM_001146021)	0	NM_026253	67580		NM_026253	ENSMUSG00000041673	Lrrc18	4930442L21Rik|MTLR1	leucine rich repeat containing 18	protein-coding	0.008333	0.422629	
NM_178254	chr2	180642391	180642991	-	0	NA	promoter-TSS (NM_178254)	promoter-TSS (NM_178254)	0	NM_178254	277353		NM_178254	ENSMUSG00000038932	Tcfl5	Figlb|Sosf1	transcription factor-like 5 (basic helix-loop-helix)	protein-coding	0.128333	0.742097	-74(GCGGGA,-,0.00),119(GCGGGA,-,0.00)
NR_029737	chr14	115043857	115044457	+	0	NA	promoter-TSS (NR_029815)	promoter-TSS (NR_029815)	0	NR_029737	387139		NR_029737	ENSMUSG00000065442	Mir20a	Mir-20|Mirn20|Mirn20a|mir-20a|mmu-mir-20a	microRNA 20a	ncRNA	0.010000	0.430948	
NM_001104946	chrX	26231023	26231623	-	0	NA	promoter-TSS (NM_001104946)	promoter-TSS (NM_001104946)	0	NM_001104946	100039030		NM_001104946	ENSMUSG00000082639	Gm2012	-	predicted gene 2012	protein-coding	0.011667	0.465890	
NM_176844	chr9	54980580	54981180	+	0	NA	promoter-TSS (NM_176844)	promoter-TSS (NM_176844)	0	NM_176844	110835		NM_176844	ENSMUSG00000035594	Chrna5	Acra-5|Acra5	cholinergic receptor, nicotinic, alpha polypeptide 5	protein-coding	0.016667	0.429285	
NM_011651	chr7	44942940	44943540	+	0	NA	promoter-TSS (NM_001077591)	promoter-TSS (NM_001077591)	0	NM_011651	22116		NM_011651	ENSMUSG00000059891	Tsks	Stk22s1|Tssks1	testis-specific serine kinase substrate	protein-coding	0.025000	0.585691	
NM_028797	chr15	103430127	103430727	-	0	NA	promoter-TSS (NM_028797)	promoter-TSS (NM_028797)	0	NM_028797	74174		NM_028797	ENSMUSG00000022487	Gtsf1	1700006H03Rik|Cue110	gametocyte specific factor 1	protein-coding	0.036667	0.549085	
NM_027740	chr10	99106782	99107382	+	0	NA	promoter-TSS (NM_027740)	promoter-TSS (NM_027740)	0	NM_027740	382406		NM_027740	ENSMUSG00000019952	Poc1b	4933430F16Rik|Wdr51b	POC1 centriolar protein B	protein-coding	0.128333	0.710483	-89(TCCCGC,+,0.00),183(GCGGGA,-,0.00),276(GCGGGA,-,0.00)
NM_027948	chr6	83156104	83156704	+	0	NA	promoter-TSS (NM_023790)	promoter-TSS (NM_023790)	0	NM_027948	71837		NM_027948	ENSMUSG00000030030	1700003E16Rik	-	RIKEN cDNA 1700003E16 gene	protein-coding	0.061667	0.594010	-258(TCCCGC,+,0.00)
NM_030070	chr12	72441566	72442166	+	0	NA	promoter-TSS (NM_001142728)	promoter-TSS (NM_001142728)	0	NM_030070	78257		NM_030070	ENSMUSG00000021090	Lrrc9	4921529O18Rik|4930432K16Rik	leucine rich repeat containing 9	protein-coding	0.045000	0.524126	285(GCGGGA,-,0.00)
NR_030496	chrX	7241051	7241651	-	0	NA	promoter-TSS (NR_030496)	promoter-TSS (NR_030496)	0	NR_030496	751560		NR_030496	ENSMUSG00000076251	Mir501	Mirn501|mir-501|mmu-mir-501	microRNA 501	ncRNA	0.005000	0.447587	
NM_153785	chr11	52003921	52004521	+	0	NA	promoter-TSS (NM_001166657)	promoter-TSS (NM_001166657)	0	NM_153785	213084		NM_153785	ENSMUSG00000020389	Cdkl3	B230379H01Rik	cyclin dependent kinase like 3	protein-coding	0.071667	0.635607	151(GCGGGA,-,0.00)
NM_001098269	chr14	43607713	43608313	-	0	NA	promoter-TSS (NM_001098269)	promoter-TSS (NM_001098269)	0	NM_001098269	100042342		NM_001098269	ENSMUSG00000095528	Gm10375	-	predicted gene 10375	protein-coding	0.001667	0.462562	
NR_029562	chr11	96850093	96850693	+	0	NA	promoter-TSS (NR_029562)	promoter-TSS (NR_029562)	0	NR_029562	387170		NR_029562	ENSMUSG00000065515	Mir152	Mirn152|mir-152|mmu-mir-152	microRNA 152	ncRNA	0.050000	0.613977	-125(GCGGGA,-,0.00)
NM_028610	chr16	48283435	48284035	+	0	NA	promoter-TSS (NM_001018002)	promoter-TSS (NM_001018002)	0	NM_028610	73693		NM_028610	ENSMUSG00000058550	Dppa4	2410091M23Rik|ECAT15-1	developmental pluripotency associated 4	protein-coding	0.021667	0.429285	
NM_029121	chr17	86947587	86948187	-	0	NA	promoter-TSS (NM_029121)	promoter-TSS (NM_029121)	0	NM_029121	74915		NM_029121	ENSMUSG00000053375	Atp6v1e2	4930500C14Rik|Atp6e1|E1	ATPase, H+ transporting, lysosomal V1 subunit E2	protein-coding	0.023333	0.530782	
NR_035418	chr2	10517855	10518455	+	0	NA	promoter-TSS (NR_035418)	promoter-TSS (NR_035418)	0	NR_035418	100316831		NR_035418	ENSMUSG00000080594	Mir669h	Mirn669h|mir-669h|mmu-mir-669h	microRNA 669h	ncRNA	0.005000	0.396007	
NM_013558	chr17	34972403	34973003	+	0	NA	promoter-TSS (NM_013558)	promoter-TSS (NM_013558)	0	NM_013558	15482		NM_013558	ENSMUSG00000007033	Hspa1l	Hsc70t|Msh5	heat shock protein 1-like	protein-coding	0.031667	0.532446	
NM_027940	chr14	43347511	43348111	-	0	NA	promoter-TSS (NM_027940)	promoter-TSS (NM_027940)	0	NM_027940	71826		NM_027940	ENSMUSG00000095384	1700001F09Rik	Gm10377	RIKEN cDNA 1700001F09 gene	protein-coding	0.001667	0.469218	
NM_027673	chr14	55649884	55650484	+	0	NA	promoter-TSS (NM_027673)	promoter-TSS (NM_027673)	0	NM_027673	71099		NM_027673	ENSMUSG00000007591	Tssk4	1700020B19Rik|4933424F08Rik|TSK-4|TSSK-4	testis-specific serine kinase 4	protein-coding	0.010000	0.465890	
NM_001033371	chr8	105427340	105427940	+	0	NA	promoter-TSS (NM_001170789)	promoter-TSS (NM_001170789)	0	NM_001033371	270091		NM_001033371	ENSMUSG00000054320	Lrrc36	-	leucine rich repeat containing 36	protein-coding	0.018333	0.420965	
NM_001004192	chr9	108436182	108436782	+	0	NA	promoter-TSS (NM_001004192)	promoter-TSS (NM_001004192)	0	NM_001004192	434439		NM_001004192	ENSMUSG00000050641	BC048562	-	cDNA sequence BC048562	protein-coding	0.010000	0.482529	
NM_025386	chr1	84839541	84840141	+	0	NA	promoter-TSS (NM_025386)	promoter-TSS (NM_025386)	0	NM_025386	66153		NM_025386	ENSMUSG00000073633	Fbxo36	0610008D19Rik|1110020F21Rik|2410002G19Rik|D1Ertd757e	F-box protein 36	protein-coding	0.056667	0.595674	
NM_001166629	chr17	6317174	6317774	-	0	NA	promoter-TSS (NM_001166629)	promoter-TSS (NM_001166629)	0	NM_001166629	100310872		NM_001166629	ENSMUSG00000092074	Dynlt1a	AGS2|Dynlt1|Tctel1|Tctex-1|Tctex1	dynein light chain Tctex-type 1A	protein-coding	0.045000	0.589018	
NM_198677	chr14	44499822	44500422	+	0	NA	promoter-TSS (NM_198677)	promoter-TSS (NM_198677)	0	NM_198677	385138		NM_198677	ENSMUSG00000072145	BC061237	-	cDNA sequence BC061237	protein-coding	0.001667	0.465890	
NM_027026	chr11	97041069	97041669	-	0	NA	promoter-TSS (NM_026154)	promoter-TSS (NM_026154)	0	NM_027026	69297		NM_027026	ENSMUSG00000020878	Lrrc46	1700006D24Rik	leucine rich repeat containing 46	protein-coding	0.058333	0.557404	-274(GCGGGA,-,0.00)
NM_133711	chr8	54600481	54601081	+	0	NA	promoter-TSS (NM_133711)	promoter-TSS (NM_133711)	0	NM_133711	69281		NM_133711	ENSMUSG00000031518	Spata4	1700001N01Rik|Srg2|TSARG2	spermatogenesis associated 4	protein-coding	0.026667	0.512479	106(TCCCGC,+,0.00),161(TCCCGC,+,0.00)
NM_001105182	chr7	85415376	85415976	-	0	NA	promoter-TSS (NM_001105182)	promoter-TSS (NM_001105182)	0	NM_001105182	330581		NM_001105182	ENSMUSG00000091006	Vmn2r69	-	vomeronasal 2, receptor 69	protein-coding	0.003333	0.347754	
NM_153099	chr9	110797885	110798485	+	0	NA	promoter-TSS (NM_153099)	promoter-TSS (NM_153099)	0	NM_153099	235628		NM_153099	ENSMUSG00000044664	Prss42	Tessp2	serine protease 42	protein-coding	0.033333	0.587354	
NM_001025084	chrX	37221958	37222558	-	0	NA	promoter-TSS (NM_001025084)	promoter-TSS (NM_001025084)	0	NM_001025084	385343		NM_001025084	ENSMUSG00000071773	Rhox1	-	reproductive homeobox 1	protein-coding	0.001667	0.482529	
NM_027086	chr9	57910686	57911286	+	0	NA	promoter-TSS (NM_027086)	promoter-TSS (NM_027086)	0	NM_027086	69459		NM_027086	ENSMUSG00000055720	Ubl7	2300004C15Rik	ubiquitin-like 7 (bone marrow stromal cell-derived)	protein-coding	0.051667	0.555740	-245(GCGGGA,-,0.00),65(GCGGGA,-,0.00)
NM_178776	chr6	136828543	136829143	+	0	NA	promoter-TSS (NM_021714)	promoter-TSS (NM_021714)	0	NM_178776	320135		NM_178776	ENSMUSG00000047515	BC049715	-	cDNA sequence BC049715	protein-coding	0.011667	0.430948	
NM_027038	chr11	109827746	109828346	-	0	NA	promoter-TSS (NM_001162428)	promoter-TSS (NM_001162428)	0	NM_027038	69324		NM_027038	ENSMUSG00000020617	1700012B07Rik	1700069D21Rik	RIKEN cDNA 1700012B07 gene	protein-coding	0.015000	0.479201	
NM_027495	chr3	79842379	79842979	-	0	NA	promoter-TSS (NM_027495)	promoter-TSS (NM_027495)	0	NM_027495	70652		NM_027495	ENSMUSG00000027956	Tmem144	1110057I03Rik|5730537D05Rik	transmembrane protein 144	protein-coding	0.045000	0.492512	
NM_177866	chr4	134227083	134227683	-	0	NA	promoter-TSS (NM_177866)	promoter-TSS (NM_177866)	0	NM_177866	329954		NM_177866	ENSMUSG00000048003	Catsper4	4933412L05	cation channel, sperm associated 4	protein-coding	0.020000	0.525790	
NM_007491	chr7	102099929	102100529	-	0	NA	promoter-TSS (NM_001291354)	promoter-TSS (NM_001291354)	0	NM_007491	11875		NM_007491	ENSMUSG00000070424	Art5	ARTC5|Yac-2	ADP-ribosyltransferase 5	protein-coding	0.030000	0.540765	
NM_001162901	chr17	29549293	29549893	-	0	NA	promoter-TSS (NM_001162901)	promoter-TSS (NM_001162901)	0	NM_001162901	71138		NM_001162901	ENSMUSG00000079580	Tmem217	4933413N12Rik|EG622644	transmembrane protein 217	protein-coding	0.048333	0.610649	
NM_027298	chr7	90426012	90426612	+	0	NA	promoter-TSS (NM_027298)	promoter-TSS (NM_027298)	0	NM_027298	70054		NM_027298	ENSMUSG00000044362	Ccdc89	1700019B01Rik|BOIP	coiled-coil domain containing 89	protein-coding	0.023333	0.450915	37(GCGGGA,-,0.00),255(TCCCGC,+,0.00)
NM_028855	chr11	69821865	69822465	-	0	NA	promoter-TSS (NM_028855)	promoter-TSS (NM_028855)	0	NM_028855	74288		NM_028855	ENSMUSG00000041165	Spem1	1700095G12Rik	spermatid maturation 1	protein-coding	0.011667	0.559068	
NM_177567	chr11	51262757	51263357	-	0	NA	promoter-TSS (NM_001358280)	promoter-TSS (NM_001358280)	0	NM_177567	193286		NM_177567	ENSMUSG00000045942	Msantd5l	4930503F14	Myb/SANT DNA binding domain containing 5 like	protein-coding	0.091667	0.640599	
NM_028492	chr11	102880924	102881524	+	0	NA	promoter-TSS (NM_001364757)	promoter-TSS (NM_001364757)	0	NM_028492	73293		NM_028492	ENSMUSG00000020930	Ccdc103	1700039D13Rik	coiled-coil domain containing 103	protein-coding	0.070000	0.570715	
NM_153519	chr17	65639456	65640056	-	0	NA	promoter-TSS (NM_153519)	promoter-TSS (NM_153519)	0	NM_153519	213272		NM_153519	ENSMUSG00000050612	Txndc2	Sptrx-1|Sptrx1|Trx4	thioredoxin domain containing 2 (spermatozoa)	protein-coding	0.006667	0.465890	
NM_178388	chr9	59525201	59525801	-	0	NA	promoter-TSS (NM_178388)	promoter-TSS (NM_178388)	0	NM_178388	73893		NM_178388	ENSMUSG00000049526	Tmem202	4930425N13Rik	transmembrane protein 202	protein-coding	0.006667	0.434276	
NM_026682	chr11	113709226	113709826	-	0	NA	promoter-TSS (NM_001164532)	promoter-TSS (NM_001164532)	0	NM_026682	52670		NM_026682	ENSMUSG00000018727	Cpsf4l	0610010C04Rik|1500000C01Rik|D11Ertd636e	cleavage and polyadenylation specific factor 4-like	protein-coding	0.028333	0.605657	23(GCGGGA,-,0.00)
NM_001005426	chr5	137787502	137788102	+	0	NA	promoter-TSS (NM_001005426)	promoter-TSS (NM_001005426)	0	NM_001005426	381678		NM_001005426	ENSMUSG00000037108	Zcwpw1	Gm1053	zinc finger, CW type with PWWP domain 1	protein-coding	0.060000	0.525790	52(GCGGGA,-,0.00)
NM_010920	chr14	69171502	69172102	+	0	NA	promoter-TSS (NM_001360218)	promoter-TSS (NM_001360218)	0	NM_010920	18092		NM_010920	ENSMUSG00000044186	Nkx2-6	Nkx-2.6|Nkx2.6|Tix|tinman	NK2 homeobox 6	protein-coding	0.035000	0.550749	
NR_029961	chr13	113037234	113037834	+	0	NA	promoter-TSS (NR_029961)	promoter-TSS (NR_029961)	0	NR_029961	723868		NR_029961	ENSMUSG00000065575	Mir449a	Mirn449|Mirn449a|mir-449a|mmu-mir-449	microRNA 449a	ncRNA	0.013333	0.469218	
NM_139151	chr2	156064913	156065513	+	0	NA	promoter-TSS (NM_139151)	promoter-TSS (NM_139151)	0	NM_139151	245865		NM_139151	ENSMUSG00000038180	Spag4	1700041K21Rik|MNCb-0953|Sun4|mKIAA4118	sperm associated antigen 4	protein-coding	0.063333	0.597338	20(GCGGGA,-,0.00)
NM_027485	chr8	72548010	72548610	-	0	NA	promoter-TSS (NM_027485)	promoter-TSS (NM_027485)	0	NM_027485	70625		NM_027485	ENSMUSG00000045248	Med26	5730493L18Rik|Crsp7	mediator complex subunit 26	protein-coding	0.108333	0.688852	
NM_013638	chr16	10790614	10791214	-	0	NA	promoter-TSS (NM_013638)	promoter-TSS (NM_013638)	0	NM_013638	19120		NM_013638	ENSMUSG00000050058	Prm3	PX|Pxg	protamine 3	protein-coding	0.023333	0.579035	31(TCCCGC,+,0.00)
NM_027598	chr18	6603329	6603929	+	0	NA	promoter-TSS (NM_027598)	promoter-TSS (NM_027598)	0	NM_027598	70901		NM_027598	ENSMUSG00000039540	4921524L21Rik	-	RIKEN cDNA 4921524L21 gene	protein-coding	0.005000	0.377704	
NM_028843	chr9	106499667	106500267	+	0	NA	promoter-TSS (NM_001146701)	promoter-TSS (NM_001146701)	0	NM_028843	74267		NM_028843	ENSMUSG00000066383	Iqcf1	1700055J15Rik	IQ motif containing F1	protein-coding	0.011667	0.489185	
NM_020280	chrX	72221717	72222317	+	0	NA	promoter-TSS (NM_020280)	promoter-TSS (NM_020280)	0	NM_020280	17140		NM_020280	ENSMUSG00000033343	Magea4	Mage-a4	MAGE family member A4	protein-coding	0.003333	0.480865	
NM_145526	chr2	85035534	85036134	-	0	NA	promoter-TSS (NM_145526)	promoter-TSS (NM_145526)	0	NM_145526	228139		NM_145526	ENSMUSG00000027071	P2rx3	4930513E20Rik|P2X3	purinergic receptor P2X, ligand-gated ion channel, 3	protein-coding	0.013333	0.459235	
NM_026256	chr8	27447370	27447970	+	0	NA	promoter-TSS (NM_027618)	promoter-TSS (NM_027618)	0	NM_026256	70952		NM_026256	ENSMUSG00000063932	Poteg	4921537P18Rik|4930456F22Rik|Gm1698|Gsarp1|Gsarp2	POTE ankyrin domain family, member G	protein-coding	0.020000	0.462562	
NM_001101628	chr9	106626301	106626901	+	0	NA	promoter-TSS (NM_001101628)	promoter-TSS (NM_001101628)	0	NM_001101628	100041096		NM_001101628	ENSMUSG00000091129	Iqcf6	-	IQ motif containing F6	protein-coding	0.003333	0.470882	
NM_183096	chr8	78213042	78213642	+	0	NA	promoter-TSS (NM_183096)	promoter-TSS (NM_183096)	0	NM_183096	73301		NM_183096	ENSMUSG00000037101	Ttc29	1700031F13Rik	tetratricopeptide repeat domain 29	protein-coding	0.023333	0.550749	
NR_027883	chr11	109346567	109347167	+	0	NA	promoter-TSS (NR_027883)	promoter-TSS (NR_027883)	0	NR_027883	67927		NR_027883	ENSMUSG00000099630	1700096J18Rik	-	RIKEN cDNA 1700096J18 gene	ncRNA	0.010000	0.522463	
NM_001033267	chr11	116454047	116454647	-	0	NA	promoter-TSS (NM_001033267)	promoter-TSS (NM_001033267)	0	NM_001033267	217341		NM_001033267	ENSMUSG00000070331	Qrich2	Gm66	glutamine rich 2	protein-coding	0.028333	0.519135	
NM_027581	chr14	75130583	75131183	-	0	NA	promoter-TSS (NM_027581)	promoter-TSS (NM_027581)	0	NM_027581	70859		NM_027581	ENSMUSG00000021997	Lrrc63	4921509B22Rik	leucine rich repeat containing 63	protein-coding	0.058333	0.625624	
NR_030252	chr16	14159326	14159926	+	0	NA	promoter-TSS (NM_001081154)	promoter-TSS (NM_001081154)	0	NR_030252	723916		NR_030252	ENSMUSG00000070074	Mir484	Mirn484|mir-484|mmu-mir-484	microRNA 484	ncRNA	0.056667	0.587354	
NM_010293	chr18	52693379	52693979	+	0	NA	promoter-TSS (NM_010293)	promoter-TSS (NM_010293)	0	NM_010293	14625		NM_010293	ENSMUSG00000053624	Gykl1	Gk-rs1	glycerol kinase-like 1	protein-coding	0.025000	0.477537	
NM_145833	chr4	134018516	134019116	-	0	NA	promoter-TSS (NM_145833)	promoter-TSS (NM_145833)	0	NM_145833	83557		NM_145833	ENSMUSG00000050966	Lin28a	Gm10299|Lin-28|Lin28|Tex17|lin-28A	lin-28 homolog A	protein-coding	0.038333	0.617304	200(GCGGGA,-,0.00)
NM_144827	chr11	94485010	94485610	-	0	NA	promoter-TSS (NM_144827)	promoter-TSS (NM_144827)	0	NM_144827	217116		NM_144827	ENSMUSG00000020867	Spata20	Tisp78	spermatogenesis associated 20	protein-coding	0.016667	0.554077	
NM_001001450	chrX	8461426	8462026	-	0	NA	promoter-TSS (NM_001134226)	promoter-TSS (NM_001134226)	0	NM_001001450	387132		NM_001001450	ENSMUSG00000023165	Ssxb2	-	SSX member B2	protein-coding	0.005000	0.432612	
